ITA,BS,CATEGORY
avverso,cóntra,
avvezzare,aesà,
avviarsi,ambiàs,
avvicinarsi,vègnër a pröf,arcaico
avvicinarsi,vègnër vizì,
avvilire,scalcagnà,
avvocatura,vocatüra,
avvolgere,ênciurcià,
avvolgere,fa sö,
avvolto nel mantello (tabarro),ëntabaràt,
azione,asiù,
azzardare,olsà,
azzardarsi,olsàs,
azzaruola,nazaröla,botanica
azzimare,stüpilà,
azzoppare,ënsopà,
azzopparsi,ënsopàs,
babbeo,babiòt,
babbeo,balabiòt,
babbeo,làlo,
babbeo,pabiòt,
babbeo,pampalüch,
babbeo,sonàl,arcaico
babbeo,tabalóre,figurativo
babbeo,calisù,
babbeo,ëntréch,
babbeo,marmòta,
babbeo,olòt,
babbeo,paseròt,
babbeo,peteròt,
babbeo,taramòt,figurativo
babbeo,lùco,
babbeo,merlòt,
babbeo,taelòt,
babbeo,paolòt,figurativo
babbo,bubà,arcaico
babbuino,babuì,zoologia
bacato,bacàt,
bacato,cagnolèt,
bacca,bàca,
bacca d'alloro,birimbàga,
bacca rossa del tasso,musignì,botanica
baccano,bacà,
baccano (fare),sbatajà,
baccano (fracasso continuo),bacanére,
baccello dei fagioli,taèla,
baccello dei fagioli,bazàna,
bacche del biancospino,pignatìne,botanica
bacche del corbezzolo,marmòte,botanica
bacchio,bàch,
bacheca,specìna,arcaico
bacia,bàza,
baciapile,pelagì,arcaico
baciare,bàza,
bacile curvo per barbieri,bazìl,
bacinella,ramìna,
bacio,bazì,
bacio succhiato,tëtabazì,
"bacìo, ombroso, tramontana, luogo dove non batte il sole",vach,
"bacìo, ombroso, tramontana, luogo dove non batte il sole",vagh,
baciucchatore,bazutù,
baciucchatore,bazuclù,arcaico
baciucchiare,bazoclà,arcaico
baciucchiare,bazotà,
baco da seta,caalèr,
baco da seta calcificato,calsì,arcaico
baco da seta flaccido,marsù,
bacucco,bacöch,
badilante,badilèr,
baffi,barbìs,
bagaglio,bagài,
bagatella,barlafüs,arcaico
baggiano,bagià,
bagnata,mìsa,
bagnato,mìs,
bagolaro,marmèa,
bagolaro,romìlia,botanica
Bagolino (di),bagòs,
baio,bài,
baionetta,tajamérde,gergo-volgare militare
balaustra,balaöstra,
balaustro,balaöstër,
balbettare,farfojà,
balbettato,ënfarfojàt,
balbuziente,tartài,
balbuziente,tartajù,
balestruccio,dàrdër,
balestruccio,d'àqua,
